question_text,summary,example,constraints,leetcode_link,title,category,solution
"Given a 0-indexed array of integers nums, return the minimum number of jumps to reach the last index from the first index, where each element represents the maximum jump length from that index.",Minimum jumps to end,"Input: nums = [2,3,1,1,4] Output: 2","The array length n is at least 1, and the test cases are generated such that you can reach nums[n - 1].",https://leetcode.com/problems/Jump-Game-II/,Jump Game II,Array and String,"[""class Solution:\n    def jump(self, nums: list[int]) -> int:\n        n = len(nums)\n        if n <= 1:\n            return 0\n\n        # keep count of number of jumps\n        jumps = 0\n\n        # keep track of the end of the current jump\n        current_jump_end = 0\n\n        # keep track of the farthest point we can reach\n        farthest = 0\n\n        # iterate through the array except the last element as we don't need to jump from the last element\n        for i in range(n - 1):\n            # update farthest point we can reach\n            farthest = max(farthest, i + nums[i])\n\n            # if we have reached the end of the current jump, so we have to make a jump\n            if i == current_jump_end:\n                jumps += 1\n                current_jump_end = farthest\n\n                # if we have reached the end of the array, we don't need to jump anymore\n                if current_jump_end >= n - 1:\n                    break\n\n        return jumps"", '# Test the function with the provided examples\n\njump = Solution().jump\n\nexample1 = [2, 3, 1, 1, 4]\nexample2 = [2, 3, 0, 1, 4]\n\noutput1 = jump(example1)\noutput2 = jump(example2)\n\noutput1, output2']"
"Given an array of integers citations, return the researcher's h-index based on the definition that h-index is the maximum value of h such that the researcher has published at least h papers that have each been cited at least h times.",Calculate researcher's h-index,"Input: citations = [3,0,6,1,5] Output: 3; Input: citations = [1,3,1] Output: 1",1 <= n <= 5000; 0 <= citations[i] <= 1000,https://leetcode.com/problems/H-Index/,H-Index,Array and String,"['class Solution:\n    # O(n logn) time complexity: sorting\n    # O(1) space complexity: in-place sorting\n    def hIndex(self, citations: list[int]) -> int:\n        # sort the citations in descending order\n        citations.sort(reverse=True)\n\n        # initialize the h-index to 0\n        h_index = 0\n\n        # iterate through the citations\n        for i in range(len(citations)):\n            # if the citation is greater than or equal to the h-index\n            if citations[i] >= h_index + 1:\n                # increment the h-index\n                h_index += 1\n            # otherwise\n            else:\n                # break out of the loop to avoid unnecessary iterations\n                break\n\n        # return the h-index\n        return h_index', '# Test cases\n\nh_index = Solution().hIndex\n\ntest_case_1 = [3, 0, 6, 1, 5]\ntest_case_2 = [1, 3, 1]\n\noutput_1 = h_index(test_case_1)\noutput_2 = h_index(test_case_2)\n\noutput_1, output_2']"
"Implement a RandomizedSet class with insert, remove, and getRandom methods that operate in average O(1) time complexity.",RandomizedSet class operations,"insert(1) -> True, remove(2) -> False, insert(2) -> True, getRandom() -> 2, remove(1) -> True, insert(2) -> False, getRandom() -> 2",All operations must have average O(1) time complexity.,https://leetcode.com/problems/Insert-Delete-Get-Random-O(1)/,Insert Delete Get Random O(1),Array and String,"['from random import choice\n\n\nclass RandomizedSet:\n    def __init__(self):\n        self.num_dict = {}\n        self.num_list = []\n\n    def insert(self, val: int) -> bool:\n        if val in self.num_dict:\n            return False\n\n        self.num_dict[val] = len(self.num_list)\n        self.num_list.append(val)\n        return True\n\n    def remove(self, val: int) -> bool:\n        if val not in self.num_dict:\n            return False\n\n        index = self.num_dict[val]\n        last = self.num_list[-1]\n\n        self.num_list[index] = last\n        self.num_dict[last] = index\n\n        self.num_list.pop()\n        del self.num_dict[val]\n\n        return True\n\n    def getRandom(self) -> int:\n        return choice(self.num_list)\n\n\n# Your RandomizedSet object will be instantiated and called as such:\n# obj = RandomizedSet()\n# param_1 = obj.insert(val)\n# param_2 = obj.remove(val)\n# param_3 = obj.getRandom()', '# Test the RandomizedSet class based on the provided example\nrandomizedSet = RandomizedSet()\noperations = [\n    ""RandomizedSet"",\n    ""insert"",\n    ""remove"",\n    ""insert"",\n    ""getRandom"",\n    ""remove"",\n    ""insert"",\n    ""getRandom"",\n]\nvalues = [[], [1], [2], [2], [], [1], [2], []]\nresults = []\n\nfor op, val in zip(operations, values):\n    if op == ""RandomizedSet"":\n        results.append(None)\n    elif op == ""insert"":\n        results.append(randomizedSet.insert(val[0]))\n    elif op == ""remove"":\n        results.append(randomizedSet.remove(val[0]))\n    elif op == ""getRandom"":\n        results.append(randomizedSet.getRandom())\n\nresults']"
"Given an integer array `nums`, return an array `answer` such that `answer[i]` is equal to the product of all the elements of `nums` except `nums[i]`. The algorithm must run in `O(n)` time and cannot use the division operation.",Product of Array Except Self,"Input: nums = [1,2,3,4] Output: [24,12,8,6]; Input: nums = [-1,1,0,-3,3] Output: [0,0,9,0,0]",2 <= nums.length <= 105; -30 <= nums[i] <= 30; The product of any prefix or suffix of `nums` is guaranteed to fit in a 32-bit integer.,https://leetcode.com/problems/Product-of-Array-Except-Self/,Product of Array Except Self,Array and String,"[""class Solution:\n    def productExceptSelf(self, nums: list[int]) -> list[int]:\n        # length of the input array\n        length = len(nums)\n\n        # The answer array to be returned\n        ans = [0] * length\n\n        # ans[i] contains the product of all the elements to the left\n        # Note: for the element at index '0', there are no elements to the left,\n        # so the ans[0] would be 1\n        ans[0] = 1\n\n        for i in range(1, length):\n            # ans[i - 1] already contains the product of elements to the left of 'i - 1'\n            # Simply multiplying it with nums[i - 1] would give the product of all\n            # elements to the left of index 'i'\n            ans[i] = nums[i - 1] * ans[i - 1]\n\n        # R contains the product of all the elements to the right\n        # Note: for the element at index 'length - 1', there are no elements to the right,\n        # so the R would be 1\n        r = 1\n\n        for i in reversed(range(length)):\n            # For the index 'i', R would contain the\n            # product of all elements to the right. We update R accordingly\n            ans[i] = ans[i] * r\n            r *= nums[i]\n\n        return ans"", '# Test the function with the provided examples\n\nproductExceptSelf = Solution().productExceptSelf\n\nexample1 = [1, 2, 3, 4]\nexample2 = [-1, 1, 0, -3, 3]\n\noutput1 = productExceptSelf(example1)\noutput2 = productExceptSelf(example2)\n\noutput1, output2']"
What are the time and space complexities of the can_complete_circuit function?,Analyze can_complete_circuit complexity,"Input: gas = [1,2,3], cost = [1,2,3] Output: Time Complexity: O(n), Space Complexity: O(1)",n is the number of gas stations,https://leetcode.com/problems/Gas-Station/,Gas Station,Array and String,"['class Solution:\n    def canCompleteCircuit(self, gas: list[int], cost: list[int]) -> int:\n        if sum(gas) < sum(cost):\n            return -1\n\n        start = 0\n        tank = 0\n\n        for i in range(len(gas)):\n            tank += gas[i] - cost[i]\n            if tank < 0:\n                start = i + 1\n                tank = 0\n\n        return start', '# Test cases\n\ncan_complete_circuit = Solution().canCompleteCircuit\n\ntest_case_1 = ([1, 2, 3, 4, 5], [3, 4, 5, 1, 2])  # Expected output: 3\ntest_case_2 = ([2, 3, 4], [3, 4, 3])  # Expected output: -1\n\n# Run test cases\nresult_1 = can_complete_circuit(*test_case_1)  # asterisk (*) is used to unpack an iterable.\nresult_2 = can_complete_circuit(*test_case_2)\n\nresult_1, result_2']"
"Given an array of ratings for n children, determine the minimum number of candies needed to distribute such that each child has at least one candy and children with higher ratings receive more candies than their neighbors.",Minimum candies distribution problem,"Input: ratings = [1,0,2] Output: 5; Input: ratings = [1,2,2] Output: 4",1 <= n <= 2 * 10^4; 0 <= ratings[i] <= 2 * 10^4,https://leetcode.com/problems/Candy/,Candy,Array and String,"[""class Solution:\n    def candy(self, ratings: list[int]) -> int:\n        n = len(ratings)\n\n        # each child must have at least one candy\n        candies = [1] * n\n\n        # left pass\n        # for each child (starting from the second one), compare with the previous child\n        for i in range(1, n):\n            # if current child has higher rating than the previous one, give one more candy to the current child\n            if ratings[i] > ratings[i - 1]:\n                candies[i] = candies[i - 1] + 1\n\n        # right pass\n        # for each child (starting from the second-to-last one), compare with the next child\n        for i in range(n - 2, -1, -1):\n            # if current child has higher rating than the next one\n            if ratings[i] > ratings[i + 1]:\n                # If the current child's rating is higher than the next child's, update the candies array for the current child.\n                # The new value should be the maximum of its current value and one more than the candies of the next child.\n                # This step ensures that children get more candies than those with a lower rating on their right.\n                candies[i] = max(candies[i], candies[i + 1] + 1)\n\n        return sum(candies)"", '# Test the function with the provided examples\n\ncandy = Solution().candy\n\nratings1 = [1, 0, 2]\nratings2 = [1, 2, 2]\n\noutput1 = candy(ratings1)\noutput2 = candy(ratings2)\n\noutput1, output2']"
"Given n non-negative integers representing an elevation map, compute how much water it can trap after raining.",Calculate trapped rain water,"Input: height = [0,1,0,2,1,0,1,3,2,1,2,1] Output: 6",1 <= n <= 2 * 10^4; 0 <= height[i] <= 10^5,https://leetcode.com/problems/Trapping-Rain-Water/,Trapping Rain Water,Array and String,"[""class Solution:\n    def trap(self, height: list[int]) -> int:\n        if not height:\n            return 0\n\n        # init two pointers (left and right)\n        left = 0\n        right = len(height) - 1\n\n        # init left_max and right_max to keep track of the max height on the left and right side of the current pointer\n        left_max, right_max = height[left], height[right]\n\n        # total water trapped\n        total = 0\n\n        # while left and right pointers haven't crossed each other\n        while left < right:\n            # if left height is less than right height, then the water trapped at left is\n            # determined by left_max (since the right wall is higher than left wall)\n            if height[left] < height[right]:\n                left += 1\n                left_max = max(left_max, height[left])\n                total += left_max - height[left]\n            # else the water trapped at right is determined by right_max (since the left wall is higher than right wall)\n            else:\n                right -= 1\n                right_max = max(right_max, height[right])\n                total += right_max - height[right]\n\n        return total"", '# O(n) time and O(1) space\n\ntrap = Solution().trap\n\nexample1 = [0, 1, 0, 2, 1, 0, 1, 3, 2, 1, 2, 1]\nexample2 = [4, 2, 0, 3, 2, 5]\n\nresult1 = trap(example1)\nresult2 = trap(example2)\n\nresult1, result2']"
"Given a roman numeral, convert it to an integer.",Convert Roman numeral to integer,Input: s = 'III' Output: 3; Input: s = 'LVIII' Output: 58; Input: s = 'MCMXCIV' Output: 1994.,"1 <= s.length <= 15; s contains only the characters ('I', 'V', 'X', 'L', 'C', 'D', 'M'); s is a valid roman numeral in the range [1, 3999].",https://leetcode.com/problems/Roman-to-Integer/,Roman to Integer,Array and String,"['class Solution:\n    def romanToInt(self, s: str) -> int:\n        # Mapping of Roman numerals to integers\n        roman_map = {""I"": 1, ""V"": 5, ""X"": 10, ""L"": 50, ""C"": 100, ""D"": 500, ""M"": 1000}\n\n        total = 0\n        prev_val = 0\n\n        for char in reversed(s):\n            # get the integer value of the roman numeral\n            val = roman_map[char]\n\n            # if the current value is less than the previous value, subtract it\n            # we are in a case like IV (4) or IX (9)\n            if val < prev_val:\n                total -= val\n            else:\n                total += val\n\n            # update the previous value for the next iteration\n            prev_val = val\n\n        return total', '# Test the function with the given examples\n\nromanToInt = Solution().romanToInt\n\nprint(romanToInt(""III""))  # Output: 3\nprint(romanToInt(""LVIII""))  # Output: 58\nprint(romanToInt(""MCMXCIV""))  # Output: 1994']"
What are the time and space complexities of the intToRoman method?,Analyze intToRoman complexity,"Input: 1994, Output: 'MCMXCIV'",Input number must be between 1 and 3999.,https://leetcode.com/problems/Integer-to-Roman/,Integer to Roman,Array and String,"['class Solution:\n    def intToRoman(self, num: int) -> str:\n        # List of tuples with Roman numerals and their corresponding values\n        roman_numerals: list[tuple[str, int]] = [\n            (""M"", 1000),\n            (""CM"", 900),\n            (""D"", 500),\n            (""CD"", 400),\n            (""C"", 100),\n            (""XC"", 90),\n            (""L"", 50),\n            (""XL"", 40),\n            (""X"", 10),\n            (""IX"", 9),\n            (""V"", 5),\n            (""IV"", 4),\n            (""I"", 1),\n        ]\n\n        roman_str: str = """"\n\n        for roman, value in roman_numerals:\n            # Count how many times the Roman numeral can fit into num\n            count = num // value\n            if count != 0:\n                # Append the Roman numeral count times\n                roman_str += roman * count\n                # Reduce num\n                num -= value * count\n\n            # Break the loop if num becomes 0\n            if num == 0:\n                break\n\n        return roman_str\n\n\n# Example usage\nsolution = Solution()\nprint(solution.intToRoman(58))  # Output: ""LVIII""\nprint(solution.intToRoman(1994))  # Output: ""MCMXCIV""']"
What is the time and space complexity of the function `lengthOfLastWord`?,Analyze time and space complexity,Input: 'Hello World' -> Output: 5,n is the length of the input string.,https://leetcode.com/problems/Length-of-Last-Word/,Length of Last Word,Array and String,"['class Solution:\n    def lengthOfLastWord(self, s: str) -> int:\n        # Splitting the string into words\n        words = s.split()\n\n        # Returning the length of the last word\n        return len(words[-1])\n\n\n# Test cases from the examples\ntest_cases = [""Hello World"", ""   fly me   to   the moon  "", ""luffy is still joyboy""]\n\n# Defining the function\nlengthOfLastWord = Solution().lengthOfLastWord\n\n# Applying the function to each test case\nresults = [lengthOfLastWord(tc) for tc in test_cases]\nresults']"
